,HA.FC,HA.stat,HA.pvalue,T98G.FC,T98G.stat,T98G.pvalue,U251.FC,U251.stat,U251.pvalue
miR_15b_Mimic,0.663963964,-1.920730322,0.103161614,1.163971094,1.740804606,0.132363049,1.306972639,2.185590093,0.071508123
miR_19b_Mimic,1.061261261,0.02053075,0.984285706,1.06366139,0.40483245,0.699638377,1.420653133,5.688010541,0.001274026
miR_21_Mimic,0.891891892,-0.9081241,0.398818005,1.500860289,4.847129852,0.00285998,0.925860547,-1.20180961,0.274715398
miR_23a_Mimic,1.572072072,3.819398423,0.008766857,1.553337922,4.978039625,0.002506633,1.406884378,4.202890599,0.005667617
miR_29a_Mimic,1.433333333,2.861776381,0.028734761,1.20836201,2.328449669,0.058765281,1.385878199,4.245792073,0.005405141
miR_34a_Mimic,0.533333333,-4.615671958,0.003631791,0.69735031,-3.099919793,0.021118635,0.724801412,-3.184779781,0.018960964
miR_133b_Mimic,0.640540541,-1.572411201,0.166915755,1.015141087,0.399416127,0.703415892,1.101500441,1.362046835,0.222098618
miR_222_Mimic,0.757657658,-2.541794205,0.043974378,0.831039229,-1.458884279,0.194879085,1.261076787,3.317679415,0.016050618
miR_223_Mimic,0.297297297,-7.459816014,0.000299264,1.377838954,2.398660852,0.053392213,0.857193292,-2.086674891,0.081974403
miR_1292_Mimic,0.746846847,-2.73549913,0.033937591,1.282863042,2.016815579,0.090297869,1.142453663,1.763746386,0.128228834
miR_331_3p_Mimic,1.401459854,1.781474657,0.125120973,1.412187786,8.138717127,0.00018493,1.416096866,15.36126534,4.81E-06
miR_450a_Mimic,1.151824818,0.907292094,0.399223942,1.238394141,2.433501481,0.050919451,1.037037037,1.403609483,0.210016371
miR_486_3p_Mimic,0.490510949,-5.540245872,0.001459231,0.958807375,-0.884536868,0.410448274,0.60982906,-13.66479427,9.54E-06
miR_506_Mimic,0.564963504,-4.369435766,0.00472192,1.037269517,0.870127159,0.417677882,0.683190883,-14.68661831,6.26E-06
miR_511_Mimic,1.124087591,1.324392932,0.233583665,1.28180986,4.869847562,0.002794808,0.874216524,-4.995556758,0.002463218
miR_578_Mimic,1.128467153,0.674623374,0.525042359,1.176147509,1.497412734,0.184931498,1.031054131,0.519115681,0.622264189
miR_892b_Mimic,0.747445255,-2.050044197,0.086236752,0.510657774,-10.11687933,5.42E-05,0.718518519,-9.913902686,6.08E-05
miR_924_Mimic,0.870072993,-1.17403442,0.284866661,0.791029162,-3.594585559,0.011440662,0.646581197,-14.60741759,6.46E-06
CEBPD_siRNA,0.671361502,-2.097352036,0.080772878,0.836220343,-3.646331557,0.010753289,0.891289359,-4.541456834,0.003927184
CEBPE_siRNA,0.76713615,-0.774800587,0.467882638,1.003530088,-0.211680427,0.839363599,0.998965755,-0.268761288,0.797115753
ELF1_siRNA,0.888262911,-0.285515293,0.784849702,1.212215746,3.508662887,0.012692008,1.092162721,3.674966536,0.010392672
ETV6_siRNA,0.289201878,-5.48572948,0.001535174,0.526804039,-10.63541705,4.07E-05,0.552631579,-19.91005475,1.04E-06
IKZF1_siRNA,0.984037559,0.112435002,0.914145836,1.066414908,1.081957172,0.320827126,1.041254884,1.331253365,0.231452184
IRF1_siRNA,0.932394366,-0.264581395,0.800186052,1.447171825,8.316896453,0.00016391,1.106182487,3.182774443,0.019009083
NFKB1_siRNA,0.815023474,-0.777366777,0.466477209,0.791724817,-4.364780286,0.004745813,0.737186854,-11.85651372,2.18E-05
PPARG_siRNA,0.609389671,-2.785902274,0.031748699,0.70183072,-6.665536127,0.000551635,0.732015629,-6.350961133,0.00071432
Erlotinib_Drug,0.407407407,-8.963231551,0.000107729,0.443725335,-21.59336465,6.44E-07,0.699399213,-10.4070962,4.61E-05
Gefitinib_Drug,0.445326279,-8.187060867,0.000178934,0.641199684,-9.257442817,8.98E-05,0.822664181,-4.522353202,0.004007543
Imatinib_Drug,1.145502646,1.649198272,0.150201532,0.758484609,-5.526674127,0.001477729,1.198466957,2.582545635,0.04162677
Sorafenib_Drug,0.037037037,-15.5881004,4.41E-06,0.014285714,-50.51842808,4.04E-09,0.058214212,-45.76166723,7.30E-09
Vatalanib_Drug,0.683421517,-2.146968312,0.075421253,0.310260458,-16.30033129,3.39E-06,0.580277605,-12.43864594,1.65E-05
Tandutinib_Drug,0.587301587,-5.110862485,0.002197837,0.376874507,-15.40859504,4.72E-06,0.747565776,-4.611374789,0.003648195
Vorinostat_Drug,0.113756614,-14.37760454,7.09E-06,0.047513812,-46.74316275,6.42E-09,0.232546095,-31.987237,6.21E-08
Romidepsin_Drug,0.002645503,-16.35026524,3.33E-06,0.003867403,-51.06207969,3.79E-09,0.004557696,-49.18993377,4.73E-09
Dasatinib_Drug,0.138447972,-13.37631385,1.08E-05,0.044830308,-47.82818384,5.60E-09,0.279055314,-29.53761367,9.98E-08
